name,url,headshot,description
Melat Kiros,https://www.kirosforco.com/,/assets/images/endorsed/Kiros.jpg,"Melat Kiros is a candidate for CO-1 who has embodied the social and environmental justice values that Sunrise Movement and her campaign are built upon. In 2023, Melat wrote an [open letter to US law firms](https://medium.com/@melatakiros/dear-us-law-firms-77ec63e838af) about concerns in discerning between anti-semitism and quesitoning Israel's legitimacy. Her refusal to take down the letter resulted in her being fired, but more importantly, demonstrates her integrity and commitment to her values. One of Melat's core policy positions is to remove money from politics. Notably, Melat is running to challenge a 30 year incumbent, Diana Degette, who has received over $1.5 million in campaign contributions from the fossil fuel industry, while Melat has refused to accept any corporate PAC money at all. These are just a few examples of how Melat embodies her stated values, and why Sunrise Movement Denver has complete faith in her ability to advocate for residents of CO-1."
Julie Gonzales,https://www.julieforcolorado.com/,/assets/images/endorsed/Gonzales.jpg,"Senadora Julie Gonzales has spent her career turning grassroots organizing into bold legislative action. As a former director of organizing for the [Colorado Immigrant Rights Coalition](https://coloradoimmigrant.org) and a founding member of [United We Dream](https://unitedwedream.org), Julie brought her movement roots directly into the Colorado State Senate. There, she has been a legislative powerhouse, passing over 200 bills to deliver real relief to Coloradans- more than three times the number of standalone bills John Hickenlooper has passed in his entire tenure in DC. Her landmark wins have enshrined abortion as a fundamental right in Colorado, protected immigrant communities from ICE overreach, and allocated over $500 million for community-driven affordable housing. Julie refuses to accept corporate PAC money, running a completely people-powered campaign to bring this proven, highly effective style of leadership to the U.S. Senate to unapologetically take on corporate polluters, union-busters, and the climate crisis."
David Seligman,https://www.seligmanforag.com/,/assets/images/endorsed/Seligman.jpg,"David Seligman stands out in this race as the only candidate who isn't a career politician or government prosecutor. While other candidates have spent their careers within the government, David has worked on the front lines fighting for his local communities, using impact litigation to unrig the system for everyday people. As the Executive Director of the legal nonprofit [Towards Justice](https://www.towardsjustice.org), David has served as a fearless advocate for working people, successfully recovering over $70 million stolen from workers and pioneering cases against wage theft, human trafficking, and corporate collusion. Crucially, David led a decade-long lawsuit all the way to the U.S. Supreme Court to hold private prison giant GEO Group accountable on behalf of thousands locked up in the Aurora immigration detention facility, and he successfully sued the Governor to stop state agencies from illegally sharing personal data with ICE. As Attorney General, David will use the law to protect worker and visa rights, dismantle predatory corporate monopolies, and hold federal immigration enforcement accountable."  
