question,answer
"Why do the primaries matter?","In blue states and districts, the primary election *is* the main election. The winner of many of the primaries are expected to win the general election come November. So, the primary is important as it is our chance to put true progressives on the November ballot in place of (often incumbent) do-nothing-Dems who would not generate the positive change we need to see in our communities."
"How do I vote in the primaries?","If you haven't already recieved a mail in ballot, you can go in person to a polling center and pick up a ballot, or vote in person on June 30th. If you're not registered yet, you will need your: name, birthday, address, and a Drivers License number, State ID number, or SSN. \n Useful links: [Check/Update: tr.ee/co_voter](tr.ee/co_voter) / [Register: tr.ee/co_new_voter](tr.ee/co_new_voter)"
"Why does the questionnaire (not) cover [insert topic]?","The questionnaire is designed to help voters quickly understand where candidates stand on key issues. We understand that there are many important issues, and not all readers will have the same priorities or concerns. We tried to focus on issues that are related to Sunrise Movement Denver's mission within the context of the Denver Metro Area. If you'd like to read more about the questions that are included, they are expanded upon [here](/questionnaire-breakdown/)."
"I am a candidate, how can I get on this ballot guide?","Please fill out the survey here: https://forms.gle/4cLX5fX9jGQFvbPB6. A Sunrise Volunteer will update the page with your responses promptly."

